9213,619640,619671,33.55694,9213,9213,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.029,'ft','','',1,'12/11/01',4150665
9214,619671,619679,5.01953,9214,9214,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.004,'ft','','',1,'12/11/01',4150809
9215,619679,619693,5.05497,9215,9215,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.004,'ft','','',1,'12/11/01',4150700
9216,619693,619748,44.59325,9216,9216,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.038,'ft','','',1,'12/11/01',4150764
9418,619309,619248,94.11636,9418,9418,3,'Zahrtmannsvej',53,61,40,40,'','','','',7552,7552,3700,3700,407,9513,1,'38',0,10,60,0.108,'','','',10323938,'11/14/01',4150880
9419,619346,619309,60.27670,9419,9419,3,'Zahrtmannsvej',45,49,0,0,'','','','',7552,7552,3700,3700,407,9513,1,'38',0,10,60,0.069,'','010','',10323938,'11/14/01',4150869
9420,619320,619566,136.12394,9420,9420,3,'Zahrtmannsvej',0,0,0,0,'','','','',7552,7552,3700,3700,407,9513,1,'38',0,0,60,0.157,'','','',10323938,'11/14/01',4151239
9421,619424,619346,98.74539,9421,9421,3,'Zahrtmannsvej',33,43,30,38,'','','','',7552,7552,3700,3700,407,9513,1,'38',0,10,60,0.114,'','','001',10323938,'11/14/01',4150950
9422,619566,619549,224.09858,9422,9422,3,'Zahrtmannsvej',1,13,2,10,'','','','A',7552,7552,3700,3700,407,9513,1,'38',0,10,60,0.258,'','','',10323938,'11/14/01',4150876
9423,619505,619424,121.27982,9423,9423,3,'Zahrtmannsvej',17,31,16,28,'','','','',7552,7552,3700,3700,407,9513,1,'38',0,10,60,0.139,'','','',10323938,'11/14/01',4150959
9424,619583,619583,0.08133,9424,9424,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.000,'ft','','',1,'12/11/01',4127724
9492,619505,619496,5.09152,9492,9492,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.004,'ft','','',1,'12/11/01',4150680
9493,619496,619479,36.67126,9493,9493,3,'Rundk�rsel',0,0,0,0,'','','','',0,0,3700,3700,407,0,1,'',0,0,80,0.032,'ft','','',1,'12/11/01',4150716
